title,full_text,link,date
"Срок на возврат налоговой переплаты считают с даты подачи декларации, указала кассация","Организация обратилась к налоговикам за возвратом НДС. Контролеры отказали, так как налогоплательщик подал заявление несвоевременно. Спор дошел до суда. Первая инстанция и апелляция поддержали организацию: налогоплательщик подал заявление в пределах 3-летнего срока. Кассация отменила эти судебные акты:
О том, как суды считают срок на возврат переплаты в других случаях, см. обзор.
",https://www.consultant.ru/legalnews/20357/,2022-10-5
"Разъяснили, что с 1 сентября от участников госзакупок не требуют выписку из реестра членов СРО","Минфин и Минстрой указали: с учетом поправок к ГрК РФ заказчики не вправе требовать от участников подтверждать членство в СРО документами при закупке работ:
Информации из единого реестра сведений о членах СРО и их обязательствах достаточно, чтобы подтвердить, отвечает ли участник условиям закупки. Если данных о нем нет в реестре, заявку отклоняют за несоответствие требованиям извещения.
Напомним: с 1 сентября саморегулируемые организации не выдают выписки из реестра членов СРО. Сведения размещают в интернете.
В практике уже есть пример, когда требование приложить такую выписку к заявке признали нарушением.
",https://www.consultant.ru/legalnews/20508/,2022-10-5
В Москве приняли допмеры поддержки семей мобилизованных,"Мэр Москвы принял ряд мер соцподдержки семей граждан, которые попали под частичную мобилизацию. Это, например:
Чтобы получить меры поддержки, нужно подать заявление в Центр поддержки семей мобилизованных (п. 2 указа).
",https://www.consultant.ru/legalnews/20511/,2022-10-5
"Смягчили требования, которые касаются маркировки молочной продукции","С 3 октября молочную продукцию можно продавать, не дожидаясь передачи информации в систему ""Честный знак"". Передать ее нужно в течение 3 рабочих дней с момента приемки партии маркированной продукции. Послабление действует по 31 мая 2025 года включительно.
С 1 июня 2025 года сведения в систему нужно подавать в тот же срок, но не позднее дня передачи товара третьим лицам. Другими словами, нельзя будет продать товар, а потом передать информацию.
",https://www.consultant.ru/legalnews/20510/,2022-10-5
При госзакупках одноразовых медизделий из пластика НМЦК станут рассчитывать иначе,"14 октября вступят в силу поправки к порядку определения НМЦК при закупках медизделий.
С этой даты действие порядка распространят на закупки одноразовых пластиковых медизделий из правительственного перечня.
",https://www.consultant.ru/legalnews/20509/,2022-10-5
С 10 октября начнут применять новые ограничения на международные автоперевозки по России,"До конца года правительство установило запрет на перемещение грузов по территории РФ автотранспортом иностранных перевозчиков. Речь идет о тех, кто зарегистрирован в странах, которые ввели в отношении российских граждан и юрлиц ограничения в сфере автоперевозок.
Запрет касается следующих перевозок:
В постановлении есть ряд исключений. В частности, запрет не коснется:
",https://www.consultant.ru/legalnews/20494/,2022-10-5
Проект об эксперименте по онлайн-продаже рецептурных лекарств прошел Госдуму,"С 1 марта 2023 года до 1 марта 2026 года в Москве, Московской и Белгородской областях пройдет эксперимент по розничной торговле рецептурными препаратами через интернет. Порядок продажи будет регулировать новая ст. 55.1 Закона об обращении лекарств. Госдума приняла проект во втором и третьем чтениях.
Органы исполнительной власти регионов отберут участников эксперимента (пп. 2 п. 6 ст. 55.1). Медорганизации и аптеки вправе отказаться от участия (п. 7 ст. 55.1).
Минздрав определит перечень лекарств для онлайн-торговли. Правительство установит критерии для включения препаратов в него (п. 2 ст. 55.1). При этом запретят интернет-продажу, например:
Аптеки будут следить, чтобы препарат доставили тому, кому врач выписал рецепт (его законному представителю), либо уполномоченному им лицу (п. 8 ст. 55.1). Это лицо должно расписаться в документе о получении (его форму утвердит Минздрав). Такой бланк курьер передаст в аптеку (п. 10 ст. 55.1). Если гражданин не предъявит курьеру паспорт или данные получателя не совпадут с данными в рецепте, лекарство вернут в аптеку (п. 9 ст. 55.1). Возврат будет и в случае, когда получатель выявит механическое повреждение препарата либо его упаковки (п. 10 ст. 55.1).
",https://www.consultant.ru/legalnews/20504/,2022-10-4
Утвердили новую форму согласия на медико-социальную экспертизу,"С 14 октября медорганизации должны оформлять согласие на медико-социальную экспертизу по единой форме. Сейчас 2 согласия: на направление на экспертизу (применяют клиники) и на ее проведение (используют бюро МСЭ).
В новой форме пациент может указать:
Уведомление через Госуслуги станет доступно с 1 февраля 2023 года. Клиники будут применять этот способ при технической возможности.
",https://www.consultant.ru/legalnews/20503/,2022-10-4
Хотят изменить ряд правил в госзакупках и закупках отдельных видов юрлиц из-за мобилизации,"Планируют, что по спецнорме стороны по согласию смогут менять существенные условия контракта для федеральных нужд, если из-за мобилизации в РФ его нельзя исполнить (п. 1 проекта постановления).
Высшим исполнительным органам субъектов РФ, местным администрациям хотят дать рекомендацию принять меры по обеспечению возможности менять контракты, которые нельзя исполнить по указанной причине (п. 2 проекта постановления).
Напомним: корректировка по спецоснованию возможна при соблюдении ряда условий. Одно из них — решение соответствующего органа власти.
В правилах ведения РНП по Закону N 223-ФЗ хотят уточнить, что в реестр не станут включать данные об участнике, который уклонился от подписания договора, или поставщике, который не исполнил обязательства по нему из-за форс-мажора. Речь идет в том числе о мобилизации в РФ (пп. ""б"" и ""в"" п. 1 проекта изменений).
Предложили скорректировать и правила ведения реестра по Закону N 44-ФЗ. Так, в РНП не станут включать сведения об участнике закупки, если он не подписал контракт в том числе из-за мобилизации в РФ (пп. ""а"" и абз. 5 пп. ""б"" п. 5 проекта изменений).
Планируют, что заказчики станут списывать неустойки за неисполнение либо ненадлежащее исполнение контракта по правилам Постановления Правительства РФ N 783, в том числе если (п. 3 проекта изменений):
Начисленные и неуплаченные неустойки спишут полностью.
Общественное обсуждение завершат 17 октября.
",https://www.consultant.ru/legalnews/20502/,2022-10-4
"Суды продолжают отменять штрафы, когда страхователь сам исправил ошибку и дополнил СЗВ-М и СЗВ-СТАЖ","Иногда страхователь при своевременной сдаче отчетности по персонифицированному учету допускает ошибку или не указывает кого-то из застрахованных. Если подать дополняющую форму позже сроков, но до того, как неточность обнаружит ПФР, штраф можно успешно оспорить в суде.
Суды разных округов считают, что в этом случае оснований для санкций нет. Страхователи должны быть заинтересованы в том, чтобы проверять и исправлять отчетность.
Недавно к тем же выводам пришли АС Северо-Западного и Московского округов. При этом аналогичное мнение давно встречается в практике и других окружных судов.
Напомним, что с 1 января этот подход закрепят в законе.
",https://www.consultant.ru/legalnews/20418/,2022-10-4
Регионам и муниципалитетам разрешили госзакупки для мобилизации без учета запрета на допуск,"С 11 октября ряд региональных и муниципальных заказчиков может приобрести товары, работы, услуги в том числе для мобилизации. К товарам не будут применять запрет на допуск.
Так, региональные исполнительные органы или муниципалитеты за счет средств своих бюджетов (кроме субвенций) могут закупить, в частности:
Закупки проведут по заявкам от уполномоченных органов Минобороны. Среди них центральные органы военного управления, военные округа или территориальные органы, в том числе военкоматы.
Товары, результат работ или услуг безвозмездно передают в федеральную собственность по акту приема-передачи. Готовить для этого перечень документов не нужно.
",https://www.consultant.ru/legalnews/20501/,2022-10-4
"Через Госуслуги можно подать жалобу, если мобилизовали по ошибке","Подать заявление вправе как мобилизованный, так и любой человек за него. Нужно указать сведения о мобилизованном, реквизиты повестки и документы, которые подтверждают основания для отсрочки.
Заявление направят в региональную комиссию по разбору жалоб, которые созданы при призывных комиссиях по мобилизации. Его рассмотрят в короткие сроки.
",https://www.consultant.ru/legalnews/20500/,2022-10-4
Подборка интересных судебных споров за III квартал 2022 года для бухгалтера бюджетной организации,"Краснодарский краевой суд решил, что врио руководителя может премировать себя без согласования с учредителем. Вывод надо учитывать в такой ситуации:
Рекомендуем органам власти установить, когда выплаты должен назначать или согласовывать учредитель. Это позволит избежать конфликта интересов.
Отметим: в ситуации, когда зама назначили единоличным исполнительным органом вместо уволившегося директора, ряд судов посчитали обязательным согласование премии с учредителем.
18-й ААС признал нецелевкой излишек по командировочным, который удержали из зарплаты, но не восстановили на лицевом счете.
Госорган выдал аванс на командировочные по КВР 122. Неиспользованный остаток удержал из зарплаты сотрудника. На лицевом счете образовались неверные суммы:
Судьи посчитали, что госорган фактически выплатил по коду 122 часть зарплаты. Удержанные суммы надо было зачислить на лицевой счет по этому коду.
Как провести такую операцию, рекомендуем уточнить по месту обслуживания счета.
4-й ААС решил, что учредитель не мог довести техникуму госзадание на организацию питания студентов:
Выплаты работникам столовой и оплату коммунальных для ее работы из субсидии на задание признали неправомерными расходами.
16-й ААС отменил штраф за нецелевые расходы, т.к. контролеры не представили однозначных доказательств.
Проверяющие сочли нецелевыми затраты больницы на обслуживание бухгалтерской программы. Они установили, что медучреждение не применяло ряд унифицированных форм первички и регистров, не вело несколько аналитических счетов по КФО 7. Контролеры решили: исполнитель не настроил программу, а значит, не оказал учреждению услуги.
Судьи вывод не поддержали:
КС РФ закрепил такие подходы:
КС РФ утвердил такие подходы:
Напомним: если госслужащий, обязанный подавать сведения о доходах, купил недвижимость или некоторые другие объекты на крупную сумму, по закону он должен доказать легальность источника оплаты. В противном случае считают, что сотрудник получил средства незаконно. Суд по иску прокурора изымает имущество.
",https://www.consultant.ru/legalnews/20498/,2022-10-4
Стал известен блок мер поддержки малого бизнеса и ИП в связи с частичной мобилизацией,"Как заявил первый зампредседателя правительства, определили перечень дополнительных мер для решения проблем малого бизнеса и предпринимателей, которые возникли из-за частичной мобилизации. Включать меры предлагают автоматически или полуавтоматически. Среди планов можно выделить такие:
",https://www.consultant.ru/legalnews/20499/,2022-10-4
"В договоре на платные медуслуги надо фиксировать их перечень и стоимость, указал суд","Клиника заключила с пациентом договор на платные медуслуги, но не внесла в него их список и цену. Росздравнадзор посчитал это нарушением лицензионных требований. Суд вынес предупреждение. Сперва апелляция, о которой мы писали, а теперь и кассация оставили решение в силе.
Медорганизация полагала, что не нарушила закон, т.к. заключила рамочный договор и указала услуги и их стоимость в счете, который выдали потребителю.
Суды пришли к выводу: договор на платные медуслуги должен содержать перечень и стоимость услуг, сроки и порядок их оплаты.
",https://www.consultant.ru/legalnews/20496/,2022-10-4
О каких изменениях нужно знать гражданам в IV квартале 2022 года,"Страхователей обязали письменно сообщать в страховую о смене собственника автомобиля. Исключение — случаи, когда страхователь досрочно прекратил договор ОСАГО.
Если владелец автомобиля сначала покупает полис ОСАГО, а после получает госномер в ГИБДД, сообщать его в страховую теперь нужно не во всех случаях. Указали исключение: когда страховая сама узнала номер из автоматизированной информационной системы ОСАГО и проинформировала об этом владельца.
Отменили обязанность водителей записывать в извещении о ДТП фамилии и адреса очевидцев.
Раньше с результатами осмотра или экспертизы автомобиля потерпевшего знакомили, если он письменно заявил об этом. Теперь страховая обязана делать это в любом случае. Закрепили 3 способа ознакомления: по электронной почте, через личный кабинет страхователя ОСАГО, в офисе страховой компании. Выбор за потерпевшим.
Документ: Указание Банка России от 24.12.2021 N 6038-У
Детские выплаты
Стали применять новое правило о ежемесячной выплате на ребенка от 8 до 17 лет. Если заявление подали с 1 октября, выплату дают с того месяца, в котором ребенку исполнилось 8. Условие: между днем рождения и днем обращения за выплатой не больше 6 месяцев. В остальных случаях платят с месяца подачи заявления.
Документ: Постановление Правительства РФ от 09.04.2022 N 630
Индексация окладов
На 4% повысили оклады:
Документы: Постановление Правительства РФ от 21.04.2022 N 719; Постановление Правительства РФ от 29.06.2022 N 1161; Постановление Правительства РФ от 15.08.2022 N 1413
В перечень выплат, которые зачисляют на карты ""Мир"", добавят:
Документ: Постановление Правительства РФ от 23.07.2022 N 1317
Заявления на единовременную выплату разрешат подавать в том числе через МФЦ и Госуслуги. Обратиться за выплатой с письменного согласия сотрудника сможет его работодатель.
Документ: Постановление Правительства РФ от 17.11.2021 N 1969
В этом году призыв граждан на срочную военную службу начнется на месяц позже обычного. Он продлится до 31 декабря.
Документ: Указ Президента РФ от 30.09.2022 N 691
Физлица смогут использовать Госуслуги для постановки на учет в налоговой. Заявление нужно будет подписать неквалифицированной ЭП, сертификат ключа проверки которой создали и используют в инфраструктуре оказания электронных услуг.
Свидетельство о постановке на учет можно будет получить тоже через Госуслуги.
Документ: Федеральный закон от 28.05.2022 N 151-ФЗ
При обращении за медпомощью (кроме экстренной) застрахованные получат право выбирать, что предъявить: полис ОМС или документ, удостоверяющий личность. Для детей до 14 лет вместо полиса можно будет показать свидетельство о рождении.
Документ: Федеральный закон от 06.12.2021 N 405-ФЗ
Истекает срок, когда действует рекомендация ЦБ РФ приостановить выселение должников из жилья, на которое ранее обратили взыскание. Она касается кредитных и микрофинансовых организаций, кредитных потребительских и жилищных накопительных кооперативов.
Документ: Информационное сообщение Банка России от 02.03.2022
Подходит к концу срок, в течение которого физлица при подаче заявлений через Госуслуги получают 30%-ную скидку на госпошлины.
Документ: Федеральный закон от 21.07.2014 N 221-ФЗ
",https://www.consultant.ru/legalnews/20489/,2022-10-4
Утвердили новый порядок аккредитации ИТ-компаний,"Правила начали действовать 1 октября. Ранее услугу по аккредитации временно не оказывали: прежний порядок работал до 1 августа.
По новым правилам аккредитацию могут получить компании, которые:
Последний критерий могут не выполнять компании, доход которых больше 1 млн руб. При этом они должны:
Если компанию создали меньше чем за 3 года до аккредитации и она с того момента заработала не более 1 млн руб., требование об ИТ-доходе можно не соблюдать. Такая организация должна представить выписку из реестра стартапов (если в регионе его ведут).
Установили основания для отказа в аккредитации. Среди них:
Если компания устранит причины отказа (например, погасит долг), она сможет подать заявление снова.
В прежнем порядке подобных требований к ИТ-компаниям и оснований для отказа в аккредитации не было. Если организация прошла аккредитацию ранее, повторное заявление не нужно. Однако до 1 ноября она должна дать согласие на раскрытие налоговой тайны.
",https://www.consultant.ru/legalnews/20491/,2022-10-4
Ряду сотрудников силовых ведомств назначили новую ежемесячную надбавку,"Надбавку ввели для сотрудников:
Выплаты также назначили:
Ежемесячную надбавку будут начислять в процентах к денежному довольствию:
Порядок выплаты определят сами госорганы.
",https://www.consultant.ru/legalnews/20486/,2022-10-4
"Проверка контрагентов: уже доступны сведения о доходах, расходах и налогах организаций за 2021 год","ФНС сообщила, что в формате открытых данных на сайте разместили сведения организаций за прошлый год. Речь идет о доходах и расходах по бухотчетности, а также о налогах и взносах.
Налоговики напомнили: данные обновляют ежегодно 1 октября. Информация помогает налогоплательщикам дополнительно проверить контрагентов.
",https://www.consultant.ru/legalnews/20482/,2022-10-4
"Роструд считает, что внутреннее совместительство на время обеда возможно","Сотрудника можно оформить по внутреннему совместительству для работы на время, когда он свободен от своих основных обязанностей, в том числе в перерыв для отдыха и питания. Ведомство препятствий не видит.
Как принять на работу совместителя, подскажет готовое решение.
",https://www.consultant.ru/legalnews/20488/,2022-10-4
Суды: производитель остановил поставки после 24 февраля — оснований не подписывать госконтракт нет,"Победитель вовремя не подписал контракт и не внес обеспечение, поскольку производитель остановил поставки из-за политической и экономической обстановки. Заказчик признал его уклонившимся. Сведения включили в РНП.
Суды поддержали решение:
В практике есть пример, когда в похожей ситуации сведения в РНП не включили, поскольку победитель внес обеспечение и подтвердил невозможность поставки письмами производителей.
",https://www.consultant.ru/legalnews/20485/,2022-10-4
Для фарм- и медорганизаций хотят продлить эксперимент по упрощенному лицензированию,"До 1 сентября 2023 года предлагают продолжить эксперимент по автоматизации разрешительной деятельности, в т.ч. лицензирования. Проект проходит общественное обсуждение. Пока же фарм- и медорганизации могут оформить лицензии через Госуслуги не позднее 1 марта 2023 года.
Напомним, участие в эксперименте добровольное. Лицензию на фармацевтическую и медицинскую деятельность можно получить по общим правилам.
",https://www.consultant.ru/legalnews/20490/,2022-10-3
